Dec 24 00:03:39 PC kernel: [43438.148649] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:bc:10:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.153.49 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=21807 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=270 
Dec 24 00:03:44 PC kernel: [43442.813766] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:bc:10:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.153.49 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=21808 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=271 
Dec 24 00:03:49 PC kernel: [43447.796190] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:bc:10:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.153.49 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=21809 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=272 
Dec 24 00:03:54 PC kernel: [43452.801709] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:bc:10:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.153.49 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=21810 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=273 
Dec 24 00:03:59 PC kernel: [43457.815529] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:bc:10:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.153.49 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=21811 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=274 
Dec 24 00:04:04 PC kernel: [43462.796561] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:bc:10:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.153.49 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=21812 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=275 
Dec 24 00:04:09 PC kernel: [43467.786680] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:bc:10:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.153.49 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=21813 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=276 
Dec 24 00:04:14 PC kernel: [43472.813738] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:bc:10:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.153.49 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=21814 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=277 
Dec 24 00:04:19 PC kernel: [43477.954171] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:bc:10:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.153.49 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=21815 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=278 
Dec 24 00:04:24 PC kernel: [43482.801749] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:bc:10:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.153.49 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=21816 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=279 
Dec 24 10:28:35 PC kernel: [ 1270.455226] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31240 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=284 
Dec 24 10:28:36 PC kernel: [ 1271.472201] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31241 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=285 
Dec 24 10:28:37 PC kernel: [ 1272.492258] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31242 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=286 
Dec 24 10:28:38 PC kernel: [ 1273.510061] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31243 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=287 
Dec 24 10:34:31 PC kernel: [ 1626.163226] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31244 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=288 
Dec 24 10:34:32 PC kernel: [ 1627.180133] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31245 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=289 
Dec 24 10:34:33 PC kernel: [ 1628.199879] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31246 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=290 
Dec 24 10:34:34 PC kernel: [ 1629.222946] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31247 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=291 
Dec 24 10:56:36 PC kernel: [ 2951.160903] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31252 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=296 
Dec 24 10:56:37 PC kernel: [ 2952.170748] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31253 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=297 
Dec 24 10:56:38 PC kernel: [ 2953.194279] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31254 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=298 
Dec 24 10:56:39 PC kernel: [ 2954.208061] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31255 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=299 
Dec 24 10:58:19 PC kernel: [ 3054.060156] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31256 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=300 
Dec 24 10:58:20 PC kernel: [ 3055.072048] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31257 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=301 
Dec 24 10:58:21 PC kernel: [ 3056.081978] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31258 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=302 
Dec 24 10:58:22 PC kernel: [ 3057.101818] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31259 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=303 
Dec 24 11:09:29 PC kernel: [ 3723.976247] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31260 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=304 
Dec 24 11:09:33 PC kernel: [ 3728.892946] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31261 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=305 
Dec 24 11:09:38 PC kernel: [ 3733.888830] LOGGING_PING_UNCLESURVIN=eth0 OUT= MAC=00:15:5d:12:b0:49:00:15:5d:ce:b6:99:08:00 SRC=172.27.144.1 DST=172.27.158.211 LEN=60 TOS=0x00 PREC=0x00 TTL=128 ID=31262 PROTO=ICMP TYPE=8 CODE=0 ID=1 SEQ=306 
