Attribute_Name,ObjectID,NumOID,ImportID,ContainerID,Num_ContainerID,Mandatory,DataType_Kind,Value_Type,Formula,ScopeEntityID,Num_ScopeEntityID,Domain_ID,Num_Domain_ID,Logical_Type_ID,Num_Logical_Type_ID,Distinct_Type_ID,Num_Distinct_Type_ID,Structured_Type_ID,Num_Structured_Type_ID,Collection_Type_ID,Num_Collection_Type_ID,Check_Constraint_Name,Default_Value,Use_Domain_Constraint,Domain_Name,Logical_Type_Name,Structured_Type_Name,Distinct_Type_Name,Collection_Type_Name,Synonyms,Preferred_Abbreviation,Relation_ID,Num_Relation_ID,Entity_Name,PK_Flag,FK_Flag,Relation_Name,Sequence,T_Size,T_Precision,T_Scale,Data_Source
"AC",B1FC77AC-9452-0F2F-5CBE-AD24CB5E235F,76,,8EDB0D45-1E5F-130C-2D9D-F27B2D53D62F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"FASILITAS_KAMAR",,,,3,1,,,,
"ALAMAT",97CB6C88-993B-F195-2653-B09881884E07,77,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"BANGUNAN",,,,3,40,,,,
"DAPUR_UMUM",2AEB4980-999C-4309-88FA-1E765D30ACC2,78,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT025,12,,,,,,,,,N,,CHAR,,,,,,,,"BANGUNAN",,,,8,1,,,,
"HARGA_BULANAN",ED97EB26-C269-664C-F998-8C89F8CA7745,79,,92DD10D6-EA39-ED32-AFC3-1A9826A2D92C,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT019,35,,,,,,,,,N,,NUMERIC,,,,,,,,"KAMAR",,,,5,,10,,,
"ID_BANGUNAN",E883DC94-1AF2-3368-906B-DDB5044E2A48,80,,EE71B636-1F75-15A6-CE3F-ED58390218CC,70,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"BANGUNAN",P,,,1,5,,,,
"ID_F_KAMAR",0D85E7FD-9987-3E1E-8F64-DFA3BF5E8B5E,81,,8EDB0D45-1E5F-130C-2D9D-F27B2D53D62F,71,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"FASILITAS_KAMAR",P,,,1,5,,,,
"ID_F_KAMAR",DA4E38EE-7C4A-D569-E452-2F3FBEA69608,82,,92DD10D6-EA39-ED32-AFC3-1A9826A2D92C,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,C2EE2DE3-6051-6A6C-0160-65AE05668DCD,126,"KAMAR",,F,"Relation_8",6,5,,,,
"ID_KAMAR",F5D481E1-F842-9D98-1FCF-338DB25B9B45,83,,92DD10D6-EA39-ED32-AFC3-1A9826A2D92C,72,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"KAMAR",P,,,1,5,,,,
"ID_KAMAR",A7ECCD13-8BC6-9BA4-1679-CC1DAC5CC4B9,84,,73921090-F5CA-5C97-AA52-0FE24B90CA76,75,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,A4AE9A6B-5587-D227-6A37-C226FC939F1C,123,"RIWAYAT_SEWA",,F,"Relation_14",7,5,,,,
"ID_KARYAWAN",CF9664DF-8BAE-E809-DE38-4362F2D8D801,85,,77E2578E-8A67-A2D7-D86E-ACD9B1988F7A,73,Y,Logical Type,,,,,DOM3000004,1,LOGDT024,63,,,,,,,,,N,,VARCHAR,,,,,,,,"KARYAWAN",P,,,1,5,,,,
