# Nmap 7.60 scan initiated Sun Apr 11 13:02:43 2021 as: nmap -sS -v -v -Pn -O -oN nmap_sS_v_v_Pn_O.txt unit-deb.pnj.ac.id
Nmap scan report for unit-deb.pnj.ac.id (103.36.14.100)
Host is up, received user-set (0.048s latency).
Scanned at 2021-04-11 13:02:56 WIB for 6s

PORT      STATE SERVICE              REASON
1/tcp     open  tcpmux               syn-ack ttl 253
3/tcp     open  compressnet          syn-ack ttl 253
4/tcp     open  unknown              syn-ack ttl 253
6/tcp     open  unknown              syn-ack ttl 253
7/tcp     open  echo                 syn-ack ttl 253
9/tcp     open  discard              syn-ack ttl 253
13/tcp    open  daytime              syn-ack ttl 253
17/tcp    open  qotd                 syn-ack ttl 253
19/tcp    open  chargen              syn-ack ttl 253
20/tcp    open  ftp-data             syn-ack ttl 253
21/tcp    open  ftp                  syn-ack ttl 253
22/tcp    open  ssh                  syn-ack ttl 253
23/tcp    open  telnet               syn-ack ttl 253
24/tcp    open  priv-mail            syn-ack ttl 253
25/tcp    open  smtp                 syn-ack ttl 60
26/tcp    open  rsftp                syn-ack ttl 253
30/tcp    open  unknown              syn-ack ttl 253
32/tcp    open  unknown              syn-ack ttl 253
33/tcp    open  dsp                  syn-ack ttl 253
37/tcp    open  time                 syn-ack ttl 253
42/tcp    open  nameserver           syn-ack ttl 253
43/tcp    open  whois                syn-ack ttl 253
49/tcp    open  tacacs               syn-ack ttl 253
53/tcp    open  domain               syn-ack ttl 253
70/tcp    open  gopher               syn-ack ttl 253
79/tcp    open  finger               syn-ack ttl 253
80/tcp    open  http                 syn-ack ttl 61
81/tcp    open  hosts2-ns            syn-ack ttl 253
82/tcp    open  xfer                 syn-ack ttl 253
83/tcp    open  mit-ml-dev           syn-ack ttl 253
84/tcp    open  ctf                  syn-ack ttl 253
85/tcp    open  mit-ml-dev           syn-ack ttl 253
88/tcp    open  kerberos-sec         syn-ack ttl 253
89/tcp    open  su-mit-tg            syn-ack ttl 253
90/tcp    open  dnsix                syn-ack ttl 253
99/tcp    open  metagram             syn-ack ttl 253
100/tcp   open  newacct              syn-ack ttl 253
106/tcp   open  pop3pw               syn-ack ttl 253
109/tcp   open  pop2                 syn-ack ttl 253
110/tcp   open  pop3                 syn-ack ttl 253
111/tcp   open  rpcbind              syn-ack ttl 253
113/tcp   open  ident                syn-ack ttl 253
119/tcp   open  nntp                 syn-ack ttl 253
125/tcp   open  locus-map            syn-ack ttl 253
135/tcp   open  msrpc                syn-ack ttl 253
139/tcp   open  netbios-ssn          syn-ack ttl 253
143/tcp   open  imap                 syn-ack ttl 253
144/tcp   open  news                 syn-ack ttl 253
146/tcp   open  iso-tp0              syn-ack ttl 253
161/tcp   open  snmp                 syn-ack ttl 253
163/tcp   open  cmip-man             syn-ack ttl 253
179/tcp   open  bgp                  syn-ack ttl 253
199/tcp   open  smux                 syn-ack ttl 253
211/tcp   open  914c-g               syn-ack ttl 253
212/tcp   open  anet                 syn-ack ttl 253
222/tcp   open  rsh-spx              syn-ack ttl 253
254/tcp   open  unknown              syn-ack ttl 253
255/tcp   open  unknown              syn-ack ttl 253
256/tcp   open  fw1-secureremote     syn-ack ttl 253
259/tcp   open  esro-gen             syn-ack ttl 253
264/tcp   open  bgmp                 syn-ack ttl 253
280/tcp   open  http-mgmt            syn-ack ttl 253
301/tcp   open  unknown              syn-ack ttl 253
306/tcp   open  unknown              syn-ack ttl 253
311/tcp   open  asip-webadmin        syn-ack ttl 253
340/tcp   open  unknown              syn-ack ttl 253
366/tcp   open  odmr                 syn-ack ttl 253
389/tcp   open  ldap                 syn-ack ttl 253
406/tcp   open  imsp                 syn-ack ttl 253
407/tcp   open  timbuktu             syn-ack ttl 253
416/tcp   open  silverplatter        syn-ack ttl 253
417/tcp   open  onmux                syn-ack ttl 253
425/tcp   open  icad-el              syn-ack ttl 253
427/tcp   open  svrloc               syn-ack ttl 253
443/tcp   open  https                syn-ack ttl 253
444/tcp   open  snpp                 syn-ack ttl 253
445/tcp   open  microsoft-ds         syn-ack ttl 253
458/tcp   open  appleqtc             syn-ack ttl 253
464/tcp   open  kpasswd5             syn-ack ttl 253
465/tcp   open  smtps                syn-ack ttl 253
481/tcp   open  dvs                  syn-ack ttl 253
497/tcp   open  retrospect           syn-ack ttl 253
500/tcp   open  isakmp               syn-ack ttl 253
512/tcp   open  exec                 syn-ack ttl 253
513/tcp   open  login                syn-ack ttl 253
514/tcp   open  shell                syn-ack ttl 253
515/tcp   open  printer              syn-ack ttl 253
524/tcp   open  ncp                  syn-ack ttl 253
541/tcp   open  uucp-rlogin          syn-ack ttl 253
543/tcp   open  klogin               syn-ack ttl 253
544/tcp   open  kshell               syn-ack ttl 253
545/tcp   open  ekshell              syn-ack ttl 253
548/tcp   open  afp                  syn-ack ttl 253
554/tcp   open  rtsp                 syn-ack ttl 253
555/tcp   open  dsf                  syn-ack ttl 253
563/tcp   open  snews                syn-ack ttl 253
587/tcp   open  submission           syn-ack ttl 253
593/tcp   open  http-rpc-epmap       syn-ack ttl 253
616/tcp   open  sco-sysmgr           syn-ack ttl 253
617/tcp   open  sco-dtmgr            syn-ack ttl 253
625/tcp   open  apple-xsrvr-admin    syn-ack ttl 253
631/tcp   open  ipp                  syn-ack ttl 253
636/tcp   open  ldapssl              syn-ack ttl 253
646/tcp   open  ldp                  syn-ack ttl 253
648/tcp   open  rrp                  syn-ack ttl 253
666/tcp   open  doom                 syn-ack ttl 253
667/tcp   open  disclose             syn-ack ttl 253
668/tcp   open  mecomm               syn-ack ttl 253
683/tcp   open  corba-iiop           syn-ack ttl 253
687/tcp   open  asipregistry         syn-ack ttl 253
691/tcp   open  resvc                syn-ack ttl 253
700/tcp   open  epp                  syn-ack ttl 253
705/tcp   open  agentx               syn-ack ttl 253
711/tcp   open  cisco-tdp            syn-ack ttl 253
714/tcp   open  iris-xpcs            syn-ack ttl 253
720/tcp   open  unknown              syn-ack ttl 253
722/tcp   open  unknown              syn-ack ttl 253
726/tcp   open  unknown              syn-ack ttl 253
749/tcp   open  kerberos-adm         syn-ack ttl 253
